[step],KAPPA-E,RHO,THRESHOLD,SEED,final-total-spikes,active-neuron-fraction,mean-weight,weight-sd,mean-firing-rate,synchrony-index
500,0.0,0.001,1.0,9,6655,1.0,0.08084842137459054,0.14385794587866416,0.08873333333333333,0.5010252566269427
500,0.0,0.001,1.0,10,6506,1.0,0.06087524089435308,0.10767225712294949,0.08674666666666667,0.31062459525028163
500,0.0,0.001,1.5,1,6441,1.0,0.07331457961905756,0.10588883726358812,0.08588,0.3343689272707852
500,0.0,0.001,1.5,2,1577,0.32666666666666666,0.015891276881157986,0.038434248453017475,0.021026666666666666,0.6546154928190443
500,0.0,0.001,1.5,3,3962,0.6533333333333333,0.041060778580306066,0.08812362819289296,0.05282666666666667,0.4538265103867494
500,0.0,0.001,1.5,4,2253,0.36666666666666664,0.024325611028552633,0.07337225068072793,0.03004,0.6688835833876474
500,0.0,0.001,1.5,5,1341,0.22666666666666666,0.017474958238320414,0.052197133520568435,0.01788,0.9395362915848474
500,0.0,0.001,1.5,6,6065,1.0,0.07702967303863903,0.10032342281759618,0.08086666666666667,0.4004617910945269
500,0.0,0.001,1.5,7,1442,0.24,0.013140335039047614,0.0387852905261957,0.019226666666666666,0.712549056619736
500,0.0,0.001,1.5,8,6187,1.0,0.0677441028727529,0.08922011200133162,0.08249333333333334,0.33715226144604193
500,0.0,0.001,1.5,9,2376,0.37333333333333335,0.029608910394497038,0.08425370882019584,0.03168,0.5613888676109069
500,0.0,0.001,1.5,10,6225,1.0,0.06937236326044373,0.09696921883810618,0.083,0.35244489363380577
500,0.0,0.01,0.5,1,6756,1.0,0.07823513475389621,0.14397096301100185,0.09008,0.46850230516229613
500,0.0,0.01,0.5,2,6339,1.0,0.06902709069968839,0.10328459001285956,0.08452,0.42214638735455823
500,0.0,0.01,0.5,3,6808,1.0,0.08802861459272207,0.16565154080239403,0.09077333333333333,0.4897358819060036
500,0.0,0.01,0.5,4,6382,1.0,0.09025280597067531,0.14497251427932628,0.08509333333333334,0.3405463418522179
500,0.0,0.01,0.5,5,6581,1.0,0.11534922410288055,0.18401731577983427,0.08774666666666667,0.5204993061609772
500,0.0,0.01,0.5,6,6624,1.0,0.09777723825608378,0.1430860748379821,0.08832,0.4795834169158514
500,0.0,0.01,0.5,7,6702,1.0,0.07312389749958002,0.14692990734662786,0.08936,0.35600015917629313
500,0.0,0.01,0.5,8,6654,1.0,0.07598171362780484,0.13095069276298132,0.08872,0.4338530934038121
500,0.0,0.01,0.5,9,6741,1.0,0.09637567509793718,0.16368788521431832,0.08988,0.6078020035465582
500,0.0,0.01,0.5,10,6696,1.0,0.0868933312162326,0.15590851830414168,0.08928,0.3700227960739081
500,0.0,0.01,1.0,1,6652,1.0,0.07909181995335123,0.1234974787562308,0.08869333333333333,0.3608068007781608
500,0.0,0.01,1.0,2,5967,1.0,0.07386904051620202,0.09172615018675838,0.07956,0.4047207935341429
500,0.0,0.01,1.0,3,6533,1.0,0.07372071726073753,0.13047192347903502,0.08710666666666667,0.32291078700029946
500,0.0,0.01,1.0,4,5915,1.0,0.08150125397794376,0.11521155544774359,0.07886666666666667,0.4792339024335741
500,0.0,0.01,1.0,5,6296,1.0,0.10236150325690568,0.1554086543638364,0.08394666666666667,0.518594912480207
500,0.0,0.01,1.0,6,6359,1.0,0.09466332155282339,0.13128215027888,0.08478666666666666,0.49787976483213536
500,0.0,0.01,1.0,7,6536,1.0,0.06942917624804992,0.11865480990801672,0.08714666666666666,0.35769122012116067
500,0.0,0.01,1.0,8,6467,1.0,0.06844254264394362,0.10570981077442194,0.08622666666666666,0.33156068219059487
500,0.0,0.01,1.0,9,6655,1.0,0.08084842137459054,0.14385794587866416,0.08873333333333333,0.5010252566269427
500,0.0,0.01,1.0,10,6506,1.0,0.06087524089435308,0.10767225712294949,0.08674666666666667,0.31062459525028163
500,0.0,0.01,1.5,1,6441,1.0,0.07331457961905756,0.10588883726358812,0.08588,0.3343689272707852
500,0.0,0.01,1.5,2,1577,0.32666666666666666,0.015891276881157986,0.038434248453017475,0.021026666666666666,0.6546154928190443
500,0.0,0.01,1.5,3,3962,0.6533333333333333,0.041060778580306066,0.08812362819289296,0.05282666666666667,0.4538265103867494
500,0.0,0.01,1.5,4,2253,0.36666666666666664,0.024325611028552633,0.07337225068072793,0.03004,0.6688835833876474
500,0.0,0.01,1.5,5,1341,0.22666666666666666,0.017474958238320414,0.052197133520568435,0.01788,0.9395362915848474
500,0.0,0.01,1.5,6,6065,1.0,0.07702967303863903,0.10032342281759618,0.08086666666666667,0.4004617910945269
